Sample_ID,Log_Num,Location_General,Location_Detail,Museum,Source,Date_Collected,Sex,Age,Feather_Type,Length_mm,Mass_mg,CALC_CONC_SAMPLE_pg.mg,CALC_CONC_SAMPLE_pg.mm
LADU23-01,21-78,Midway,Monument Seagrape EIMA,N,USFWS,9/30/2021,M,AHY,Flight,49,25,2.930045039,1.494920938
LADU23-02,22-41,Midway,Rolando Seagrape EIMA,N,USFWS,7/27/2022,M,AHY,Flight,57,29.3,8.514740843,4.376875556
LADU23-03,21-20,Midway,Guzzler 4 EIMA,N,USFWS,8/2/2021,M,AHY,Flight,61,27.2,3.110089697,1.386794094
LADU23-04,21-24,Midway,Rolando Seagrape EIMA,N,USFWS,8/4/2021,F,AHY,Flight,58,31,8.366418512,4.471706446
LADU23-05,22-48,Midway,sector 41 SIMA,N,USFWS,7/29/2022,U,HY,Flight,55,29.2,2.864237499,1.520649727
LADU23-06,22-58,Midway,Rolando seep EIMA,N,USFWS,8/3/2022,F,AHY,Flight,53,28.5,5.753619873,3.093927668
LADU23-07,22-36,Midway,Sunset seep EIMA,N,USFWS,7/27/2022,U,HY,Flight,77,27.9,2.866765554,1.038737129
LADU23-08,22-67,Midway,Radar seep SIMA,N,USFWS,8/8/2022,M,HY,Flight,56,24.9,2.140517239,0.951765701
LADU23-09,21-35,Midway,Catchment SIMA,N,USFWS,8/16/2021,M,AHY,Flight,64,28.3,3.033593949,1.341417324
LADU23-10,22-52,Midway,Guzzler 4 EIMA,N,USFWS,8/1/2022,F,AHY,Flight,53,30.2,5.444868486,3.102547703
LADU23-11,21-27,Midway,"House 330, Halsey Dr., SIMA",N,USFWS,10/6/2022,M,HY,Flight,87,28.5,7.796153201,2.553912255
LADU23-12,22-96,Midway,Comm Guzzler SIMA,N,USFWS,10/28/2022,F,AHY,Flight,53,25.3,3.610390308,1.723450468
LADU23-13,WFB-8621,Laysan,NR,Y,UC Davis,4/2/2007,F,AHY,Body,144,27.9,6.705312632,1.299154322
LADU23-14,WFB-8639,Laysan,NR,Y,UC Davis,4/27/2007,F,AHY,Flight,56,28.1,15.03691561,7.545309438
LADU23-15,WFB-8622,Laysan,NR,Y,UC Davis,7/21/2007,F,AHY,Body,146,26,4.777315551,0.850754824
LADU23-16,WFB-14384,Laysan,NR,Y,UC Davis,1/6/2005,F,AHY,Flight,59,27.4,6.878735557,3.194531428
LADU23-17,WFB-8642,Laysan,NR,Y,UC Davis,6/26/2007,F,AHY,Body,140,28,11.39630809,2.279261618
LADU23-18,WFB-14325,Laysan,NR,Y,UC Davis,1/17/2005,M,AHY,Flight,58,26.6,16.80874712,7.708839195
LADU23-19,WFB-15830,Kure,NR,Y,UC Davis,2/19/2019,F,AHY,Flight,60,28.9,2.640534023,1.271857221
LADU23-20,WFB-15831,Kure,NR,Y,UC Davis,3/4/2020,F,AHY,Flight,56,27.9,1.427095544,0.710999387
LADU23-21,WFB-15832,Kure,NR,Y,UC Davis,7/29/2021,M,AHY,Flight,61,28.9,2.478446882,1.174214998
LADU23-22,WFB-14188,Kure,NR,Y,UC Davis,3/16/2016,F,AHY,Body,154,30,6.787976056,1.322332998
LADU23-23,186270,Kure,NR,Y,Bishop,3/16/2016,F,AHY,Body,163,29.6,5.805494868,1.054249375
LADU23-24,186271,Kure,Bonin Yard Pond ,Y,Bishop,4/3/2016,M,AHY,Body,135,29.6,6.099243437,1.337315598
LADU23-25,188412,Kure,Camp,Y,Bishop,3/4/2020,M,AHY,Body,152,25.6,2.239648395,0.37720394
LADU23-26,188413,Kure,Camp,Y,Bishop,3/16/2020,M,AHY,Body,168,27.2,1.348394419,0.218311477
LADU23-27,2966,Laysan,NR,Y,Bishop,4/9/1903,F,U,Body,122,29.5,3.832839561,0.926793172
LADU23-28,2967,Laysan,NR,Y,Bishop,4/10/1903,M,U,Body,67,27.2,5.446264432,2.211020784
LADU23-29,2976,Laysan,NR,Y,Bishop,4/13/1903,U,U,Body,106,28.8,5.011849792,1.361710132
LADU23-30,2977,Laysan,NR,Y,Bishop,4/20/1903,U,U,Body,118,30.7,2.663246302,0.692895436
LADU23-31,2965,Laysan,NR,Y,Bishop,4/5/1903,U,U,Body,90,26.6,6.576797592,1.943809066
LADU23-32,2968,Laysan,NR,Y,Bishop,4/13/1903,U,U,Body,166,27.9,6.257449462,1.051703855
LADU23-33,2972,Laysan,NR,Y,Bishop,4/20/1903,U,U,Body,85,27.5,10.64653721,3.44446792
LADU23-34,2973,Laysan,NR,Y,Bishop,4/20/1903,U,U,Body,86,25.7,5.708227079,1.70583065
LADU23-35,2974,Laysan,NR,Y,Bishop,4/20/1903,U,U,Body,147,27.9,4.153224719,0.7882651
LADU23-36,2975,Laysan,NR,Y,Bishop,4/12/1903,U,U,Body,136,26.3,5.895294807,1.140045981
LADU23-37,159740,Laysan,NR,Y,Bishop,8/1/1978,F,U,Body,229,27.4,8.899583162,1.064840955
LADU23-38,159741,Laysan,25.77şN  171.74şW.,Y,Bishop,8/1/1978,F,U,Body,172,28,11.12227577,1.810603033
LADU23-39,184983,Laysan,"mudflat, Quad 307:    0-2 m:    25.76918şN  171.73342şW.",Y,Bishop,11/17/2004,M,HY,Body,205,25.6,4.88345278,0.609836054
